"Sum of Frequencies","Depth","Formatted Partition","Analysis Variable","Data Role","Value","Target Name","Partition Indicator","Predicted Mean","Predicted Minimum","Predicted Maximum","Target Minimum","Target Maximum","Target Mean",
"7","50","           2","P_avg_consumption","TEST","14.0416566526","avg_consumption","2","14.2838391677","14.0416566526","14.5659133769","13.61451403","14.76388714","14.3649186486",
"8","55","           2","P_avg_consumption","TEST","13.5098551634","avg_consumption","2","13.7384458368","13.5098551634","13.9491754456","13.50559659","14.16475357","13.7965127375",
"7","60","           2","P_avg_consumption","TEST","13.2289405532","avg_consumption","2","13.3368536939","13.2289405532","13.4993021347","13.09453475","13.87283758","13.4840409929",
"7","65","           2","P_avg_consumption","TEST","13.0624797782","avg_consumption","2","13.1308210211","13.0624797782","13.2177451128","12.54123313","13.51959128","13.0905778243",
"8","70","           2","P_avg_consumption","TEST","12.5885516995","avg_consumption","2","12.7222203464","12.5885516995","12.9227545248","12.50196047","14.0124968","12.9561717538",
"7","75","           2","P_avg_consumption","TEST","12.0428794598","avg_consumption","2","12.3227948724","12.0428794598","12.4972455476","11.91202081","12.70733329","12.3854576257",
"7","80","           2","P_avg_consumption","TEST","11.6607355194","avg_consumption","2","11.7991376722","11.6607355194","12.0131424395","11.63588069","11.86962793","11.7733892229",
"8","85","           2","P_avg_consumption","TEST","11.2772827114","avg_consumption","2","11.4121658702","11.2772827114","11.5825332868","11.08981502","11.81005289","11.5107438387",
"7","90","           2","P_avg_consumption","TEST","10.9023602379","avg_consumption","2","11.0745350544","10.9023602379","11.2376429863","10.51305206","11.18956064","10.9444267114",
"7","95","           2","P_avg_consumption","TEST","10.5758185895","avg_consumption","2","10.7421633944","10.5758185895","10.8707368779","10.20254808","10.9386987","10.6015540814",
"6","100","           2","P_avg_consumption","TEST","9.93236133105","avg_consumption","2","10.3276871479","9.93236133105","10.5553558795","9.652185848","10.27224378","10.0851211097",
