date,mean,max,min
2018-06-26,8.812083333333334,13.8,5.0
2018-06-27,6.447638888888889,11.3,2.8
2018-06-28,6.727916666666667,9.2,4.4
2018-06-29,9.622916666666667,12.0,5.2
2018-06-30,10.099027777777778,13.5,7.7
2018-07-01,7.063541666666667,14.5,0.9
2018-07-02,6.148680555555556,14.1,-0.3
2018-07-03,11.473263888888889,15.5,5.5
2018-07-04,14.264583333333333,17.4,11.8
2018-07-05,16.474652777777777,19.3,13.6
2018-07-06,12.785277777777777,17.3,9.4
2018-07-07,10.153472222222222,12.5,8.5
2018-07-08,10.85701388888889,13.7,9.1
2018-07-09,10.459097222222223,13.8,9.0
2018-07-10,9.22236111111111,11.8,7.8
2018-07-11,8.33875,11.3,5.7
2018-07-12,6.592430555555556,11.1,1.4
2018-07-13,7.817013888888889,13.7,5.2
2018-07-14,7.496388888888888,14.8,1.8
2018-07-15,9.303749999999999,13.6,4.8
2018-07-16,10.245347222222222,12.7,8.1
2018-07-17,11.87,17.0,7.7
2018-07-18,10.212569444444444,14.1,5.8
2018-07-19,11.487569444444443,16.7,6.6
2018-07-20,8.333194444444445,11.7,5.4
2018-07-21,8.274930555555555,12.9,3.6
2018-07-22,10.358958333333334,14.4,7.8
2018-07-23,10.437430555555554,13.9,7.6
2018-07-24,11.113333333333333,15.2,8.4
2018-07-25,11.059791666666667,15.4,7.9
2018-07-26,10.065555555555555,14.0,6.0
2018-07-27,11.952222222222222,18.1,6.1
2018-07-28,13.719236111111112,17.9,8.3
2018-07-29,11.457569444444445,14.3,8.5
2018-07-30,9.65013888888889,12.1,7.2
2018-07-31,11.39076388888889,15.1,8.4
2018-08-01,10.231875,15.2,5.2
2018-08-02,9.309861111111111,15.2,2.0
2018-08-03,12.906041666666667,18.7,9.3
2018-08-04,11.208194444444445,14.7,7.6
2018-08-05,14.321597222222222,17.6,10.6
2018-08-06,10.304027777777778,16.6,7.4
2018-08-07,10.318888888888889,14.6,6.3
2018-08-08,10.525694444444444,15.2,7.0
2018-08-09,8.496597222222222,12.4,2.7
2018-08-10,15.792013888888889,19.1,10.7
2018-08-11,9.851111111111111,18.2,6.4
2018-08-12,8.990833333333333,14.2,3.2
2018-08-13,12.042083333333332,15.2,10.2
2018-08-14,12.668819444444443,16.0,9.3
2018-08-15,13.357777777777779,18.6,9.2
2018-08-16,9.741249999999999,14.7,5.2
2018-08-17,10.358472222222222,15.6,4.5
2018-08-18,9.431527777777777,14.7,6.4
2018-08-19,7.534097222222223,11.7,5.5
2018-08-20,7.984513888888889,12.3,4.6
2018-08-21,9.458958333333333,11.9,7.6
2018-08-22,9.636666666666667,13.1,6.7
2018-08-23,8.829374999999999,15.5,2.7
2018-08-24,8.582430555555556,16.6,1.9
2018-08-25,8.255694444444446,16.8,1.0
2018-08-26,8.056527777777777,14.7,2.5
2018-08-27,7.6688888888888895,12.3,2.9
2018-08-28,5.170625,11.5,-1.6
2018-08-29,5.56375,14.1,-2.6
2018-08-30,7.369027777777777,13.8,1.6
2018-08-31,12.853611111111112,16.2,9.7
2018-09-01,10.010486111111112,13.8,6.4
2018-09-02,7.118194444444445,11.8,1.8
2018-09-03,7.800833333333334,14.7,1.1
2018-09-04,9.770277777777778,19.4,0.5
2018-09-05,13.37,19.1,5.7
2018-09-06,15.244513888888887,19.5,10.4
2018-09-07,10.584861111111111,15.0,6.1
2018-09-08,9.721805555555555,16.8,1.2
2018-09-09,14.3075,18.0,11.5
2018-09-10,13.79861111111111,17.5,9.0
2018-09-11,15.998055555555556,23.1,5.6
2018-09-12,13.714375,20.2,7.8
2018-09-13,11.860000000000001,18.8,3.1
2018-09-14,15.501944444444444,21.7,5.9
2018-09-15,11.374652777777778,19.1,4.5
2018-09-16,8.515138888888888,13.8,3.7
2018-09-17,11.411736111111113,17.6,3.2
2018-09-18,14.399375,20.3,9.4
2018-09-19,9.802430555555556,14.8,4.2
2018-09-20,9.464930555555556,18.1,0.7
2018-09-21,11.87701388888889,19.4,5.4
2018-09-22,11.797222222222222,19.9,3.7
2018-09-23,10.624583333333334,13.5,7.0
2018-09-24,9.858125000000001,16.5,2.6
2018-09-25,9.134097222222222,14.2,4.5
2018-09-26,10.683402777777777,19.6,1.4
2018-09-27,15.127083333333333,24.3,6.5
2018-09-28,10.775416666666667,15.2,6.9
2018-09-29,8.90423611111111,14.8,3.7
2018-09-30,10.371805555555556,17.1,4.0
2018-10-01,12.978541666666665,23.3,2.0
2018-10-02,17.58138888888889,25.4,10.2
2018-10-03,16.09208333333333,23.0,10.4
2018-10-04,12.04,14.7,9.9
2018-10-05,13.341597222222223,21.1,5.3
2018-10-06,15.636805555555556,24.5,6.0
2018-10-07,17.314710144927535,25.9,7.3
2018-10-08,19.08465277777778,28.7,10.6
2018-10-09,14.753888888888888,17.6,10.3
2018-10-10,12.011666666666667,16.3,8.6
2018-10-11,12.078402777777779,21.1,2.8
2018-10-12,14.650347222222223,23.0,5.8
2018-10-13,16.49222222222222,24.6,6.5
2018-10-14,19.696180555555557,26.8,11.5
2018-10-15,23.117222222222225,27.6,18.4
2018-10-16,20.42388888888889,25.6,15.5
2018-10-17,17.81361111111111,22.3,15.0
2018-10-18,16.661180555555553,19.6,14.1
2018-10-19,20.392777777777777,27.5,10.5
2018-10-20,13.927916666666667,24.3,9.7
2018-10-21,12.687847222222222,19.3,5.0
2018-10-22,17.489444444444445,26.6,6.1
2018-10-23,14.290625,20.0,10.3
2018-10-24,12.280277777777776,18.3,8.3
2018-10-25,12.748402777777779,23.0,4.9
2018-10-26,13.332222222222223,20.2,7.9
2018-10-27,13.845416666666667,20.6,9.6
2018-10-28,12.219444444444445,18.9,6.6
2018-10-29,12.85625,20.1,7.5
2018-10-30,16.167986111111112,27.5,5.5
2018-10-31,16.620486111111113,22.5,11.7
2018-11-01,23.057986111111113,34.1,11.7
2018-11-02,24.497013888888887,27.3,23.1
2018-11-03,19.077916666666667,23.4,12.7
2018-11-04,16.36638888888889,25.5,8.2
2018-11-05,20.32472222222222,28.8,13.7
2018-11-06,16.872083333333332,21.7,14.3
2018-11-07,11.859305555555556,17.2,8.1
2018-11-08,11.567013888888889,18.2,5.5
2018-11-09,12.559722222222222,21.3,5.6
2018-11-10,14.146041666666665,21.3,6.6
2018-11-11,15.204305555555557,22.3,7.2
2018-11-12,20.11847222222222,29.7,8.3
2018-11-13,22.938263888888887,29.8,17.5
2018-11-14,15.706944444444444,17.5,13.4
2018-11-15,14.72625,19.1,11.1
2018-11-16,13.615902777777778,20.5,6.1
2018-11-17,14.336319444444444,21.4,7.1
2018-11-18,18.285763888888887,28.0,7.6
2018-11-19,22.75625,31.2,11.9
2018-11-20,22.688472222222224,27.1,16.7
2018-11-21,15.88013888888889,22.9,10.3
2018-11-22,11.924583333333334,16.8,8.6
2018-11-23,11.555208333333333,13.4,9.8
2018-11-24,13.65638888888889,17.6,11.3
2018-11-25,14.869444444444444,20.0,11.7
2018-11-26,14.623541666666668,21.0,10.2
2018-11-27,16.573680555555555,23.1,12.8
2018-11-28,17.403055555555557,22.8,13.3
2018-11-29,16.006458333333335,20.8,12.7
2018-11-30,17.117430555555554,22.8,13.0
2018-12-01,20.373055555555556,29.5,7.7
2018-12-02,15.769166666666665,21.1,11.6
2018-12-03,16.93784722222222,23.9,12.4
2018-12-04,16.53388888888889,21.9,13.1
2018-12-05,19.525416666666665,27.7,11.4
2018-12-06,25.29173611111111,34.9,12.9
2018-12-07,31.776944444444446,37.5,26.8
2018-12-08,23.066041666666667,29.7,17.4
2018-12-09,17.87388888888889,21.2,15.5
2018-12-10,18.30986111111111,23.2,14.0
2018-12-11,18.92625,27.7,11.7
2018-12-12,23.909027777777776,34.0,14.5
2018-12-13,18.398680555555554,20.3,15.6
2018-12-14,17.89902777777778,23.1,15.2
2018-12-15,19.52722222222222,24.2,16.6
2018-12-16,18.064583333333335,23.0,14.5
2018-12-17,17.894791666666666,23.0,13.4
2018-12-18,18.36847222222222,23.8,15.5
2018-12-19,20.939097222222223,28.0,16.8
2018-12-20,18.36486111111111,22.2,15.9
2018-12-21,16.80166666666667,22.5,13.5
2018-12-22,15.863472222222223,20.3,12.7
2018-12-23,18.280625,27.9,8.3
2018-12-24,24.13201388888889,33.9,12.5
2018-12-25,21.24222222222222,29.0,13.8
2018-12-26,20.31875,27.9,12.8
2018-12-27,27.464583333333334,40.8,14.1
2018-12-28,28.04465277777778,36.3,20.9
2018-12-29,21.430763888888887,25.0,18.1
2018-12-30,18.931527777777777,22.5,17.4
2018-12-31,20.639930555555555,27.4,16.5
2019-01-01,20.732916666666668,29.1,14.1
2019-01-02,20.02402777777778,26.0,16.4
2019-01-03,21.637013888888887,31.4,14.6
2019-01-04,25.690694444444443,44.0,16.2
2019-01-05,17.449375,21.7,14.4
2019-01-06,17.783472222222223,23.0,12.5
2019-01-07,19.565694444444443,25.6,14.0
2019-01-08,19.762847222222224,28.4,14.2
2019-01-09,17.70513888888889,22.3,13.8
2019-01-10,17.376319444444444,24.7,11.8
2019-01-11,22.61763888888889,34.1,11.8
2019-01-12,22.05527777777778,28.0,16.0
2019-01-13,21.781944444444445,31.9,12.7
2019-01-14,26.462361111111115,40.3,17.6
2019-01-15,26.248402777777777,38.6,17.6
2019-01-16,22.842499999999998,30.5,18.9
2019-01-17,26.45513888888889,34.6,20.0
2019-01-18,23.035,30.8,18.3
2019-01-19,19.521527777777777,25.6,14.8
2019-01-20,19.866805555555555,26.3,13.7
2019-01-21,22.29548611111111,32.2,17.7
2019-01-22,24.140763888888888,35.3,18.2
2019-01-23,21.532013888888887,27.7,17.6
2019-01-24,28.277430555555554,42.1,16.2
2019-01-25,32.33034722222222,44.7,21.3
2019-01-26,23.278472222222224,29.4,19.1
2019-01-27,21.196805555555557,28.1,16.3
2019-01-28,23.630069444444448,34.8,14.0
2019-01-29,24.429166666666667,37.1,15.9
2019-01-30,24.476597222222225,38.6,15.3
2019-01-31,18.68402777777778,22.2,14.1
2019-02-01,18.02513888888889,26.5,10.3
2019-02-02,24.836041666666667,36.6,12.8
2019-02-03,27.81138888888889,41.2,19.2
2019-02-04,20.299652777777776,22.9,17.3
2019-02-05,20.976666666666667,27.6,16.9
2019-02-06,24.802916666666665,35.3,17.4
2019-02-07,23.92375,30.0,19.6
2019-02-08,19.969791666666666,25.0,16.6
2019-02-09,15.753888888888888,20.1,13.1
2019-02-10,17.445555555555554,25.0,11.0
2019-02-11,20.60458333333333,28.5,11.7
2019-02-12,17.327708333333334,21.6,11.4
2019-02-13,14.866111111111111,20.6,10.6
2019-02-14,16.451944444444443,24.4,8.0
2019-02-15,19.488888888888887,25.2,15.8
2019-02-16,20.41722222222222,28.1,15.9
2019-02-17,21.911319444444445,30.8,12.6
2019-02-18,20.514861111111113,26.4,16.7
2019-02-19,16.72375,21.9,12.7
2019-02-20,17.171388888888888,24.3,10.9
2019-02-21,16.74576388888889,21.7,12.6
2019-02-22,18.400972222222222,24.7,14.5
2019-02-23,20.312083333333334,27.8,15.5
2019-02-24,22.870277777777776,34.2,11.7
2019-02-25,25.2675,34.6,15.5
2019-02-26,20.160208333333333,25.5,15.0
2019-02-27,20.541875,33.4,11.0
2019-02-28,27.68069444444444,37.3,16.3
2019-03-01,29.413125,38.6,22.5
2019-03-02,28.431666666666665,36.2,19.2
2019-03-03,28.24520833333333,37.8,19.9
2019-03-04,22.180069444444445,29.9,17.6
2019-03-05,20.606875000000002,26.5,16.6
2019-03-06,14.49048611111111,18.7,11.7
2019-03-07,14.91826388888889,23.2,6.6
2019-03-08,18.051805555555553,27.8,8.0
2019-03-09,19.21708333333333,27.9,10.8
